enabled,启用
disabled,禁用
Sell on Multi-Channels,多渠道销售
Properties,属性
Recommended Value,推荐值
Current Value,当前值
Magento Version,magento版本
PHP Version,PHP版本
Memory Limit,内存限制
Mb,MB
Max Execution Time,最大执行时间
sec,s
JSON support,JSON支持
CURL support,CURL支持
GMP support,GMP支持
Welcome to M2E Pro - Magento Multi-Channels Integration!,欢迎到M2E专业版 - Magento的多渠道整合！
System Requirements,系统要求
Start Configuration,开始配置
Sell On Multi-Channels,多渠道销售
About,关于
Support,支持
Video Tutorials,视屏教程
Documentation,手册
Skip Wizard,跳过向导
Magento Info,magento信息
Edition,版本
Community,社区版
Version,版本
Module Info,模块信息
Version (revision),版本（修订）
License Info,许可信息
License Key,许可证秘钥
Location Info,位置信息
Domain,域名
System Info,系统信息
PHP Info,PHP信息
Server API,服务器API
Cron Info,Cron信息
"We recommend to set up your cron job to be run every 5 minutes (e.g. */5 * * * *).","我们建议您将您的cron作业运行每5分钟（如* /5****）。"
Last Run,上次运行
PHP command,PHP命令
GET command,获取命令
Database Tables,所有数据表
Table,表
Records,记录
eBay,易贝
Amazon (Beta),亚马逊（Beta版）
Rakuten.com (Beta),Rakuten.com (Beta版)
Play.com (Beta),Play.com (Beta版)
Database Summary,数据库概要
Total Tables,总共表数目
Total Module Tables,模块表数目
Total Module Records,模块记录数目
MySQL Info,MySQL信息
Database Name,数据库名字
Tables Prefix,表前缀
Connection Timeout,连接超时
Wait Timeout,等待超时
Hide Block,隐藏区块
Show Tips,显示提示
Hide Tips,隐藏提示
Configuration Wizard (Magento Multi-Channels Integration),配置向导（Magento的多渠道整合）
Set up Cron Job using PHP,使用PHP设置cron作业
Set up Cron Job using GET,使用GET设置cron作业
Confirm,确认
Cron Job Set Up,cron作业设置
License Set Up,许可证设置
"Set up a cron job to run every 5 minutes (e.g. */5 * * * *) to enable automatic work of the extension.<br/>
            Otherwise, some processes will not work (i.e. synchronization tasks, logs cleaning).","设置一个cron作业运行每5分钟（如* /5****）启用自动工作扩展。<br/>否则，一些程序将无法正常工作（即同步任务，日志清洗）。"
"You need to specify the License Key. <br/>
            <strong>Note:</strong> M2E Pro does not work without activation.","您需要指定的许可证密钥。<br/><strong>注：</strong>M2E Pro没有工作，没有激活。"
Proceed,继续
"The <span style=""text-decoration: underline;"">eBay component</span>, its upgrades and support are free according to eBay / Magento Partner Agreement. And they will stay free until the partner agreement is active.<br/>","<span style=""text-decoration: underline;"">易趣组件</span>，升级和支持免费易趣/ Magento的合作伙伴协议。他们将免费入住，直到合作伙伴协议失效。<br/>"
The license key has been successfully updated.,许可证密钥已成功更新。
License Data,许可证数据
Enter,输入
Get License Key,获取许可证秘钥
Complete This Step,完成此步骤
License Validation,许可证验证
Access,访问
Current Status,目前状态
Live License,激活许可证
Save And Complete This Step,保存并完成这一步
This section contains global settings of M2E Pro and allows you to manage them in your opinion.,本节包含全局设置的M2E Pro，让你来管理它们在您看来。
Channel Settings,改变配置
eBay channel status.,eBay的通道状态。
Amazon channel status.,亚马逊通道状态。
Rakuten,乐天
Rakuten.com channel status.,乐天的通道状态。
Play.com channel status.,Play.com通道状态。
Rakuten.de,Rakuten.de
Rakuten.de channel status.,Rakuten.de通道状态。
Default Channel,默认通道
The tab of which channel must be opened by default.,默认情况下，该选项卡的通道必须打开。
Interface Settings,接口设置
Products Thumbnails,产品缩略图
Shows / Hides products thumbnails on Add Products and View Listing pages.,显示/隐藏产品添加产品查看列表页的缩略图。
Help Blocks,帮助块
Shows / Hides all Help blocks.,显示/隐藏帮助块。
Restore All Helps,还原所有帮助
Negative Feedbacks,负反馈
Notifies when a new negative feedback was received.,通知当一个新的负反馈已收到。
Notifies if cron is not run more than 12 hours.,如果cron不能运行超过12小时通知。
Configuration Wizard (Magento eBay Integration),配置向导（Magento的易趣集成）
You need to choose the marketplaces you are going to sell on.,你需要选择你要出售的街市。
Marketplaces Set Up,交易市场设置
America,美洲
Canada,加拿大
Canada (French),加拿大（法语）
Asia / Pacific,亚洲/太平洋地区
Australia,澳大利亚
Hong Kong,香港
India,印度
Malaysia,马来西亚
Philippines,菲律宾
Singapore,新加坡
Europe,欧洲
Austria,奥地利
Belgium (Dutch),比利时（荷兰语）
Belgium (French),比利时（法文）
France,法国
Germany,德国
Ireland,爱尔兰
Italy,意大利
Netherlands,荷兰
Poland,波兰
Switzerland,瑞士
Sweden,瑞典
Spain,西班牙
Marketplaces,交易市场
You must select at least one marketplace you will work with.,您必须选择至少一个你将使用的市场。
Marketplaces settings have been saved.,交易市场设置已保存。
Synchronization Set Up,同步设置
Setting up preferences of data synchronization.,设置数据同步喜好。
Skip,跳过
Synchronization,同步
Templates Synchronization,模板同步
Orders Synchronization,订单同步
"Imports and synchronizes eBay Orders for accounts,<br/>which have enabled Import eBay Orders in their<br/>Accounts settings.","进口同步易趣账户，订单<br/>他们<br/>帐户设置导入eBay的订单已启用。"
Feedbacks Synchronization,反馈同步
Imports buyers' feedbacks and automatically sends<br/>Auto Responses according to eBay Accounts settings.,进口买家的反馈信息并自动发送<br/>根据eBay帐户设置自动响应。
3rd Party Listings Synchronization,第三方房产同步
"Imports and synchronizes 3rd Party Listings for eBay<br/>accounts, which have enabled Import 3rd Party Listings<br/>in their Accounts settings.","进口并同步对eBay第三方房产<br/>帐户，这使得导入第三方<br/>房源在他们帐户设置。"
Synchronization Settings,同步设置
Settings for 3rd Party Listings Synchronization.,第三方人数同步设置。
Updates and synchronizes eBay Listings according to<br/>Synchronization Templates' rules.,更新和同步易趣人数根据<br/>同步模板规则。
Save Settings,保存设置
3rd Party Synchronization Set Up,第三方同步设置
Source,资源
Synchronization Source,资源同步
Not Set (not changeable on eBay),没有设置（不改变eBay）
Product QTY,产品数量
Custom Attribute,自定义属性
Updates quantity on eBay Listing with mapped Magento product quantity.,更新数量eBay上市映射Magento的产品数量。
Product Price,产品价格
Final Price,最终价格
Updates title on eBay Listing with mapped Magento product title.,更新标题eBay上市映射Magento的产品称号。
Subtitle,副标题
Updates eBay Listing subtitle.,更新易趣清单副标题。
Product Description,产品描述
Product Short Description,产品简述
Updates description on eBay Listing with mapped Magento product description.,更新说明eBay清单映射Magento的产品说明。
Revise Rules,修改规则
"This section contains list of product details, which changes you want to be automatically reflected on eBay.","本节包含产品的细节，要更改自动反映eBay列表。"
Partial Revise,部分修改
Automatically updates quantity on eBay listing(s) when the source of quantity is changed.,自动更新数量eBay上市（次）当源的数量变化。
Item Price,项目价格
Automatically updates price on eBay listing(s) when the source of price is changed.,源价格变化时自动更新价格eBay上市（次）。
Item Title,项目标题
Automatically updates title on eBay listing(s) when the source of title is changed.,自动更新标题eBay上市当源改变所有权。
Item Subtitle,项目副标题
Automatically updates subtitle on eBay listing(s) when the source of subtitle is changed.,自动更新源的副标题时副标题eBay上市（次）改变。
Item Description,项目描述
Automatically updates description on eBay listing(s) when the source of description is changed.,自动更新说明时eBay上市描述的源变化。
Relist Rules,重新登录规则
Relist Action,重新登录操作
