-- Please Select --,—请选择—
Add to Cart,加到购物车
Choose an Option...,请选择一项...
Configurable Swatches,可配置的样板(swatches)
Enabled,启用
General Settings,常规设置
Height,高度
In Stock,现货
"Innermost dimensions, not including border, in pixels",最内层尺寸，不包括边框，单位像素
Out of Stock,缺货
Previous,上一页
Product Attribute to Use for Swatches in Product Listing,产品列表中使用样板的产品属性
Product Attributes to Show as Swatches in Product Detail,产品详情中使用样板的产品属性
Remove This Item,删除该项
Swatch Dimensions in Layered Navigation,分层导航中样板尺寸
Swatch Dimensions in Product Listing,产品列表中样板尺寸
Swatch Dimensions on Product Detail Page,产品详情页中样板尺寸
Width,宽度
